Size,Building SF,Number Of Units,Number Of Floors,Price Per AC Land,Price Per SF Land,Asking Price,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Floor Area Ratio,Number Of Parking Spaces,Number Of Studios Units,Typical Floor (SF),Number Of 3 Bedrooms Units,Land Area AC,Land Area SF,Star Rating,Net Income,Year Built,Age,Sale Price
12000,12000.0,21.0,2.0,10101744.19,231.9,"3,475,000",0.0,0.0,0.8,21.0,21.0,6000.0,0.0,0.34,14985.0,2.0,145342.0,1968.0,55.0,3475000.0
11867,11867.0,12.0,2.0,8461538.46,194.26,"3,300,000",6.0,0.0,0.7,18.0,6.0,5933.0,0.0,0.39,16988.0,2.0,142670.0,1963.0,60.0,3300000.0
8576,8576.0,10.0,2.0,14506769.83,333.04,"3,000,000",6.0,4.0,0.95,14.0,0.0,4288.0,0.0,0.21,9008.0,2.0,114900.0,1965.0,58.0,3000000.0
6315,6315.0,7.0,2.0,14754098.36,338.73,"2,700,000",0.0,4.0,0.79,12.0,1.0,3228.0,2.0,0.18,7971.0,2.0,139651.0,1965.0,58.0,2700000.0
6564,6564.0,3.0,2.0,13235294.12,303.85,"2,250,000",0.0,3.0,0.89,6.0,0.0,3282.0,0.0,0.17,7405.0,2.0,128513.0,1968.0,55.0,2250000.0
6814,6814.0,6.0,2.0,8620689.66,197.9,"2,150,000",0.0,0.0,0.63,6.0,6.0,3407.0,0.0,0.25,10864.0,2.0,78729.0,1965.0,58.0,2150000.0
4143,4143.0,6.0,2.0,18136363.64,416.32,"1,995,000",3.0,0.0,0.86,6.0,3.0,2072.0,0.0,0.11,4792.0,2.0,117705.0,1965.0,58.0,1995000.0
4447,4447.0,5.0,2.0,8679638.64,199.3,"1,249,000",3.0,2.0,0.71,6.0,0.0,2224.0,0.0,0.14,6267.0,2.0,54730.0,1962.0,61.0,1249000.0
9372,9372.0,9.0,2.0,24487906.92,562.17,"4,300,000",0.0,0.0,1.23,18.0,9.0,4175.0,0.0,0.18,7649.0,2.0,189630.0,1984.0,39.0,4300000.0
14706,14706.0,17.0,2.0,19676836.49,451.72,"6,650,000",2.0,15.0,1.09,32.0,0.0,7353.0,0.0,0.31,13504.0,2.0,232085.0,1986.0,37.0,6100000.0
4488,4488.0,6.0,2.0,7618646.49,174.9,"1,280,000",0.0,6.0,0.64,12.0,0.0,2244.0,0.0,0.16,7004.0,2.0,56576.0,1978.0,45.0,1225000.0
5670,5670.0,8.0,2.0,12209823.81,280.3,"2,750,000",0.0,8.0,0.76,8.0,0.0,2835.0,0.0,0.17,7492.0,2.0,127536.0,1984.0,39.0,2100000.0
5734,5734.0,8.0,2.0,7914569.76,181.69,"1,695,000",8.0,0.0,0.66,8.0,0.0,2522.0,0.0,0.2,8751.0,2.0,58138.0,1977.0,46.0,1590000.0
2290,2290.0,4.0,1.0,6155398.55,141.31,"1,195,000",3.0,0.0,0.29,4.0,0.0,2290.0,0.0,0.18,7841.0,2.0,82445.0,1983.0,40.0,1108000.0
17040,17040.0,19.0,2.0,10094940.93,231.75,"8,325,000",0.0,19.0,0.52,42.0,0.0,9139.0,0.0,0.76,33010.0,3.0,350410.0,1990.0,33.0,7650000.0
7770,7770.0,9.0,3.0,20574044.47,472.32,"3,350,000",1.0,8.0,1.13,13.0,0.0,2590.0,0.0,0.16,6881.0,2.0,172209.0,1987.0,36.0,3250000.0
7680,7680.0,8.0,3.0,18178582.68,417.32,"2,700,000",0.0,8.0,1.21,14.0,0.0,2560.0,0.0,0.15,6350.0,2.0,121454.0,1986.0,37.0,2650000.0
6174,6174.0,8.0,2.0,13784810.13,316.46,"2,350,000",6.0,2.0,0.89,12.0,0.0,3087.0,0.0,0.16,6952.0,2.0,97666.0,1987.0,36.0,2200000.0
