BuildingSF,SalePrice,YearBuilt,LandAreaSF,AvgUnitSF,Coverage,ImprovementRatio,MarketTime,NetIncome,NumberOf1BedroomsUnits,NumberOf2BedroomsUnits,NumberOf3BedroomsUnits,NumberOfOtherBedroomsUnits,NumberOfParkingSpaces,NumberOfStudiosUnits,ParkingRatio,UnitsPerAcre,LocationType,BuildingCondition,BuildingMaterials,PortfolioCounty,BusinessCenter,CommunityWideWiFi,CorporateSuites,DayCare,DisposalChutes,Elevator,EnergyStarLabeled,OnSiteRetail,PackageService,PetWashingStation,PropertyManageronSite,Sauna,Spa,StorageSpace,WiFi
2800,1327500,1917,5850,812,0.436066810700338,25.25,95,106572,0,1,2,0,8,0,0,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6776,853500,1944,9004,812,0.37628339515132,36.5,95,106572,0,0,0,0,4,5,0.59,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5613,1650000,1929,6970,575,0.402605601469238,55.56,95,106572,5,1,1,0,8,3,1.25,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2526,1675000,1944,7897,635,0.319868628460052,47.51,95,106572,2,2,0,0,4,0,1.58,44,Suburban,Excellent,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3544,1670000,1929,6168,708,0.574569526803733,35.79,95,106572,5,0,0,0,4,0,0,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2864,1099000,1918,3920,812,0.365268850117335,46.79,56,106572,4,0,0,0,3,0,1.25,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4320,1125000,1945,6251,812,0.345552451982607,28.23,95,45585,0,0,0,0,10,5,1,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5402,2050000,1928,18100,812,0.298457936022486,40,95,106572,9,0,1,0,16,7,2.96,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
7972,1688000,1910,9187,996,0.433874991319235,35.22,36,106572,0,8,0,0,8,0,1,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4300,2150000,1938,6551,812,0.328194770010264,20.16,95,124875,2,2,1,0,8,0,0,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4667,3350000,1913,8233,1117,0.283498768347253,37.92,109,106572,1,0,0,1,5,2,1.07,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
6900,1850000,1923,6358,812,0.822971779723366,5.71,32,106572,0,0,4,0,3,0,0.47,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2536,1250000,1940,6970,475,0.181932966023875,43.96,95,62100,0,1,0,0,6,4,2.37,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6766,1950000,1923,15682,812,0.431461075400469,39.39,74,106572,10,0,0,0,10,0,1.48,32,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5110,2e+06,1923,12704,812,0.402236497900774,27.27,95,106572,8,0,0,0,9,0,1.25,44,Suburban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5424,1700000,1926,16988,812,0.319276682913047,43.91,95,52351,8,1,0,0,8,0,1.25,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4872,2126000,1933,7000,812,0.347995426345825,40.68,95,90194,0,0,0,0,8,10,1.25,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
